
============================================================================================================================================================= ATION TABLE =============================================================================================================================================================

State   TYPE    ID      INTEGER FLOAT   if      else    while   do      ||      &&      <=      >=      ==      !=      +       -       *       /       ;       =       (       )       <       >       !       $       true    false   Stmts   Stmt    Bool    Join    Equal   Ineq    Arith   Term    Unary   Factor  Instr   Jump    
0       S1      S2      -       -       S3      -       S4      S5      -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       R2      -       -       6       7       -       -       -       -       -       -       -       -       -       -       
1       -       S8      -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       
2       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       S9      -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       
3       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       S10     -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       
4       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       R37     -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       11      -       
5       S1      S2      -       -       S3      -       S4      S5      -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       12      -       -       -       -       -       -       -       -       -       -       
6       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       ACC     -       -       -       -       -       -       -       -       -       -       -       -       -       -       
7       S1      S2      -       -       S3      -       S4      S5      -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       R2      -       -       13      7       -       -       -       -       -       -       -       -       -       -       
8       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       S14     S15     -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       
9       -       S16     S17     S18     -       -       -       -       -       -       -       -       -       -       -       S19     -       -       -       -       S20     -       -       -       S21     -       S22     S23     -       -       24      25      26      27      28      29      30      31      -       -       
10      -       S16     S17     S18     -       -       -       -       -       -       -       -       -       -       -       S19     -       -       -       -       S20     -       -       -       S21     -       S22     S23     -       -       32      25      26      27      28      29      30      31      -       -       
11      -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       S33     -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       
12      -       -       -       -       -       -       S34     -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       
13      -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       R1      -       -       -       -       -       -       -       -       -       -       -       -       -       -       
14      R4      R4      -       -       R4      R4      R4      R4      -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       R4      -       -       -       -       -       -       -       -       -       -       -       -       -       -       
15      -       S16     S17     S18     -       -       -       -       -       -       -       -       -       -       -       S19     -       -       -       -       S20     -       -       -       S21     -       S22     S23     -       -       35      25      26      27      28      29      30      31      -       -       
16      -       -       -       -       -       -       -       -       R32     R32     R32     R32     R32     R32     R32     R32     R32     R32     R32     -       -       R32     R32     R32     -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       
17      -       -       -       -       -       -       -       -       R33     R33     R33     R33     R33     R33     R33     R33     R33     R33     R33     -       -       R33     R33     R33     -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       
18      -       -       -       -       -       -       -       -       R34     R34     R34     R34     R34     R34     R34     R34     R34     R34     R34     -       -       R34     R34     R34     -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       
19      -       S16     S17     S18     -       -       -       -       -       -       -       -       -       -       -       S19     -       -       -       -       S20     -       -       -       S21     -       S22     S23     -       -       -       -       -       -       -       -       36      31      -       -       
20      -       S16     S17     S18     -       -       -       -       -       -       -       -       -       -       -       S19     -       -       -       -       S20     -       -       -       S21     -       S22     S23     -       -       37      25      26      27      28      29      30      31      -       -       
21      -       S16     S17     S18     -       -       -       -       -       -       -       -       -       -       -       S19     -       -       -       -       S20     -       -       -       S21     -       S22     S23     -       -       -       -       -       -       -       -       38      31      -       -       
22      -       -       -       -       -       -       -       -       R35     R35     R35     R35     R35     R35     R35     R35     R35     R35     R35     -       -       R35     R35     R35     -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       -       
